epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.7314,4.37372,13.2383,0.00685,0,0,0,0,4.39982,7.5387,0.00675,0.0002,0.0002,0.0002
2,69.3585,4.1335,7.78038,0.00438,0,0,0,0,4.08455,6.5889,0.00432,0.000411684,0.000411684,0.000411684
3,99.9046,3.82116,5.67715,0.00311,0.00033,0.02158,0.00017,5e-05,3.96829,6.24629,0.00445,0.000614656,0.000614656,0.000614656
4,163.675,3.68622,4.85226,0.00278,0.00111,0.07194,0.0006,0.00016,3.8977,6.02849,0.00383,0.000808916,0.000808916,0.000808916
5,276.419,3.67327,4.45657,0.0028,0.00178,0.11511,0.00355,0.00071,4.04303,5.79391,0.00385,0.000994464,0.000994464,0.000994464
6,412.887,3.625,4.02807,0.00271,0.00333,0.21583,0.04438,0.01039,3.92854,5.2474,0.00373,0.0011713,0.0011713,0.0011713
7,463.18,3.50975,3.90083,0.00258,0.00485,0.17266,0.0412,0.01155,3.69759,4.70004,0.0035,0.00133942,0.00133942,0.00133942
8,689.357,3.60628,3.69613,0.00258,0.45638,0.03032,0.0455,0.0132,3.79769,4.43408,0.00364,0.00149884,0.00149884,0.00149884
9,849.875,3.47024,3.46701,0.00257,0.34337,0.04896,0.0357,0.01051,3.80702,3.99389,0.00403,0.00164954,0.00164954,0.00164954
10,1068.38,3.37971,3.2124,0.00242,0.25553,0.07194,0.05452,0.01389,3.89979,3.64486,0.00398,0.0016436,0.0016436,0.0016436
11,1283.33,3.41257,3.09536,0.00241,0.17441,0.07194,0.03855,0.01301,3.83355,3.47744,0.00401,0.001604,0.001604,0.001604
12,1419.77,3.37141,2.91178,0.0024,0.18168,0.06475,0.03228,0.0083,4.072,3.40907,0.00467,0.0015644,0.0015644,0.0015644
13,1602.02,3.44328,2.89683,0.00243,0.14093,0.06475,0.03161,0.01058,4.03526,3.31648,0.00436,0.0015248,0.0015248,0.0015248
14,1677.34,3.40159,2.74496,0.00239,0.52512,0.07194,0.07851,0.02688,3.66621,3.1001,0.00345,0.0014852,0.0014852,0.0014852
15,1785.99,3.33145,2.66312,0.0023,0.23976,0.06475,0.05473,0.01397,3.89869,3.19116,0.00363,0.0014456,0.0014456,0.0014456
16,1984.23,3.32438,2.62782,0.00231,0.35116,0.06475,0.04425,0.00678,3.91319,3.17429,0.00362,0.001406,0.001406,0.001406
17,2237.07,3.33089,2.57882,0.00232,0.36018,0.08633,0.09042,0.02178,3.72115,2.94864,0.00347,0.0013664,0.0013664,0.0013664
18,2438.39,3.37283,2.54467,0.00238,0.26138,0.07914,0.06751,0.0202,3.74946,2.96802,0.00342,0.0013268,0.0013268,0.0013268
